"ano";"semestre";"campus";"unidade_academica";"curso";"habilitacao";"formato";"diplomados"
2016;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"MATEMATICA-D05";"";"DISTANCIA";31
2016;1;"OURO PRETO";"CENTRO DE EDUCACAO ABERTA E A DISTANCIA";"PEDAGOGIA-D04";"";"DISTANCIA";23
2016;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"DIREITO-DIR";"";"PRESENCIAL";39
2016;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"MUSEOLOGIA-MUL";"";"PRESENCIAL";9
2016;1;"OURO PRETO";"ESCOLA DE DIREITO, TURISMO E MUSEOLOGIA";"TURISMO-TUR";"";"PRESENCIAL";17
2016;1;"OURO PRETO";"ESCOLA DE FARMACIA";"FARMACIA-FAR";"";"PRESENCIAL";23
2016;1;"OURO PRETO";"ESCOLA DE MEDICINA";"MEDICINA-MED";"";"PRESENCIAL";46
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ARQUITETURA E URBANISMO-ARQ";"";"PRESENCIAL";21
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA AMBIENTAL-AMB";"";"PRESENCIAL";18
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA CIVIL-CIV";"";"PRESENCIAL";19
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE CONTROLE E AUTOMACAO-AUT";"";"PRESENCIAL";13
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE MINAS-MIN";"";"PRESENCIAL";36
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA DE PRODUCAO-PRO";"";"PRESENCIAL";29
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA GEOLOGICA-GEO";"";"PRESENCIAL";13
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA MECANICA-MEC";"";"PRESENCIAL";18
2016;1;"OURO PRETO";"ESCOLA DE MINAS";"ENGENHARIA METALURGICA-MET";"";"PRESENCIAL";10
2016;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"CIENCIA E TECNOLOGIA DE ALIMENTOS-ALI";"";"PRESENCIAL";7
2016;1;"OURO PRETO";"ESCOLA DE NUTRICAO";"NUTRICAO-NUT";"";"PRESENCIAL";17
2016;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIA DA COMPUTACAO-COM";"";"PRESENCIAL";6
2016;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBB";"";"PRESENCIAL";9
2016;1;"OURO PRETO";"INSTITUTO DE CIENCIAS EXATAS E BIOLOGICAS";"CIENCIAS BIOLOGICAS-CBL";"";"PRESENCIAL";1
